Label,Authors,Abstract,,
Afanasyev,"Zhang H., Li Y., Zhang Z., Afanasyev A., Zhang L.","As a proposed Internet architecture, Named Data Networking (NDN) changes the network communication model from delivering packets to destinations identified by IP addresses to fetching data packets by names. This architectural change leads to changes of host functions and initial configurations. In this paper we present an overview of the basic functions of a host in an NDN network, together with necessary operations to configure an NDN host. We also compare and contrast the functionality and configuration between an NDN host and an IP host, to show the differences resulted from the different architecture designs. 2018 Association for Computing Machinery. All rights reserved.",,
Afanasyev,"Gibson C., Bermell-Garcia P., Chan K., Ko B., Afanasyev A., Zhang L.","The fundamental aim of this paper is to position the opportunities and challenges for adopting Named Data Networking (NDN) in the specific context of military coalition operations and tactical networks. The characteristic properties of tactical networks include high dynamics in multiple dimensions: bandwidth, network congestion, frequent topological changes, geographical mobility of assets, as well as dynamic changes in information access policies. Furthermore, coalition networks must provide secure and efficient communication across coalition boundaries and mitigate the impact of adversarial entities attempting to obstruct the mission. In this paper, we elaborate on the basic NDN architecture characteristics, including robust data discovery and retrieval over ad hoc and intermittent connectivity, inherent security, efficient content distribution, and automatic in-network caching; we also articulate how the above properties can all be utilized to enable resilient and secure data collection, improve the analytics capacity of the network, and to speed up and improve the quality of distributed decision making in challenging coalition environments. 2017 IEEE.",,
Afanasyev,"Flittner M., Mahfoudi M.N., Saucez D., Hlisch M.W., Iannone L., Bajpai V., Afanasyev A.","Reproducibility of artifacts is a cornerstone of most scientific publications. To improve the current state and strengthen ongoing community efforts towards reproducibility by design, we conducted a survey among the papers published at leading ACM computer networking conferences in 2017: CoNEXT, ICN, IMC, and SIGCOMM. The objective of this paper is to assess the current state of artifact availability and reproducibility based on a survey. We hope that it will serve as a starting point for further discussions to encourage researchers to ease the reproduction of scientific work published within the SIGCOMM community. Furthermore, we hope this work will inspire program chairs of future conferences to emphasize reproducibility within the ACM SIGCOMM community as well as will strengthen awareness of researchers. 2018 Association for Computing Machinery. All rights reserved.",,
Afanasyev,"Zhang Y., Wang L., Afanasyev A., Zhang L.","This papersummarizes our comparative study on the design choices of two classic link-state routing protocols: IS-IS and OSPF. Although both protocols are based on the same algorithmic foundations for computing best paths across large networks, they made different choices at various aspects in the protocol designs. We selected ten major design differences between the two to understand the reasoning behind their choices. We hope that this comparative study helps shed new light on the design space of link-state routing protocols and prove useful to future routing protocol design efforts. 2017 Association for Computing Machinery.",,
Afanasyev,"Chan K., Ko B., Mastorakis S., Afanasyev A., Zhang L.","In the current Named Data Networking implementation, forwarding a data request requires finding an exact match between the prefix of the name carried in the request and a forwarding table entry. However, consumers may not always know the exact naming, or an exact prefix, of their desired data. The current approach to this problem-establishing naming conventions and performing name lookup-can be infeasible in highly ad hoc, heterogeneous, and dynamic environments: the same data can be named using different terms or even languages, naming conventions may be minimal if they exist at all, and name lookups can be costly. In this paper, we present a fuzzy Interest forwarding approach that exploits semantic similarities between the names carried in Interest packets and the names of potentially matching data in CS and entries in FIB. We describe the fuzzy Interest forwarding approach and outline the semantic understanding function that determines the name matching. 2017 Association for Computing Machinery.",,
Afanasyev,"Shang W., Afanasyev A., Zhang L.","Distributed dataset synchronization (sync for short) provides an important abstraction for multi-party data-centric communication in the Named Data Networking (NDN) architecture. Since the beginning of the NDN project, several sync protocols have been developed, each made its own design choices that cause inefficiency under various conditions. Furthermore, none of them provides group membership management, making it difficult to remove departed nodes from the protocol state maintained at each node. This poster presents VectorSync, a new NDN sync protocol that is built upon the lessons learned so far, provides group membership management, and improves the efficiency of dataset synchronization. ©This work is partially supported by the National Science Foundation under awards CNS-1345318, CNS-1629922, and CNS-1719403. 2017 Association for Computing Machinery.",,
Afanasyev,"Zhang Z., Afanasyev A., Zhang L.","The Named Data Networking (NDN) architecture builds the security primitives into the network layer: all retrieved data packets must be signed to ensure their integrity, authenticity, and provenance. To ensure that these primitives are used in a meaningful way without imposing undue burdens on NDN users, the management of cryptographic keys and certificates needs to work in a simple, secure, and user-friendly way. This poster introduces the NDN Trust Management system (NDNCERT) which is designed to fill this need. NDNCERT provides exible mechanisms to delegate trust between certificates, either within a single device (managing permissions for local applications on a node to operate under a given namespace) or across devices/entities. NDNCERT features a modular design for security challenges that establish trust through out-of-band means for certificate issuing. Once a node or an application obtains a valid certificatee for its namespace (or being configured with a self-signed certificate), it automatically becomes a certificate authority for its namespace, and can use the same NDNCERT protocol to produce certificates for the sub-namespaces. 2017 Copyright held by the owner/author(s).",,
Afanasyev,"Zhang Z., Yu Y., Afanasyev A., Burke J., Zhang L.","As a proposed Internet architecture, Named Data Networking must provide effective security support: data authenticity, confidentiality, and availability. This poster focuses on supporting data confidentiality via encryption. The main challenge is to provide an easy-to-use key management mechanism that ensures only authorized parties are given the access to protected data. We describe the design of name-based access control (NAC) which provides automated key management by developing systematic naming conventions for both data and cryptographic keys. We also discuss an enhanced version of NAC that leverages attribute-based encryption mechanisms (NAC-ABE) to improve the flexibility of data access control and reduce communication, storage, and processing overheads. 2017 Copyright held by the owner/author(s).",,
Afanasyev,"Shang W., Li Y., Afanasyev A., Burke J., Zhang L.","Named Data Networking (NDN) architecture uses data-centric communication primitives that naturally support direct device-to-device (D2D) communications. To make NDN-enabled D2D communication a reality, this poster aims at two goals. First, we report our recent progress in enabling NDN connectivity over a number of popular D2D networking technologies. Second, we share with the broader community the roadblocks that we discovered in the process. Our experience suggests that launching a new network protocol stack for D2D communication on common platforms can be a daunting engineering challenge because of the lack of standard cross-platform APIs, limited documentation, and general platform restrictions to use L2 interfaces directly. Moreover, platforms are often equipped with different D2D networking technologies, forcing one to use many different means to interconnect different types of systems. 2017 Association for Computing Machinery.",,
Afanasyev,"Yu Y., Afanasyev A., Seedorf J., Zhang Z., Zhang L.","Named Data Networking (NDN) enables data-centric security in network communication by mandating digital signatures on networklayer data packets. Since the lifetime of some data can extend to many years, they outlive the lifetime of their signatures. This paper introduces NDN DeLorean, an authentication framework to ensure the long-term authenticity of long-lived data. The design of De- Lorean takes a publicly auditable bookkeeping service approach to keep permanent proofs of data signatures and the times when the signatures were generated. To assess DeLorean's feasibility, the paper presents a set of analytical evaluations on the operational cost as a function of data archive volumes. The paper also identifies several remaining issues that must be addressed in order to make DeLorean a general solution to authenticating long-lived data. 2017 ACM.",,
Afanasyev,"Mastorakis S., Afanasyev A., Yu Y., Zhang L.","BitTorrent is a popular application for peer-to-peer file sharing in today's Internet. To achieve robust and efficient data dissemination as an application overlay, BitTorrent implements a data-centric paradigm on top of TCP/IP's point-to-point packet delivery, which requires each peer to obtain network layer connectivity information (e.g., peer IP address, distance to each peer, routing policies) that is exclusively available at the network layer in order to select the best peers for data retrieval. This paper presents the design of nTorrent, which provides BitTorrent-like functions natively in Named Data Networking (NDN). We use simulations to examine how well the NDN's data-centric communication model can natively support such an application. Our work exposes the differences between the IP- based BitTorrent and nTorrent, and the issues and impact of moving IP-based applications to NDN-enabled networks. 2017 IEEE.",,
Afanasyev,"Afanasyev A., Jiang X., Yu Y., Tan J., Xia Y., Mankin A., Zhang L.","DNS provides a global-scale distributed lookup service to retrieve data of all types for a given name, be it IP addresses, service records, or cryptographic keys. This service has proven essential in today's operational Internet. Our experience with the design and development of Named Data Networking (NDN) suggests the need for a similar always-on lookup service. To fulfill this need we have designed the NDNS (NDN DNS) protocol, and learned several interesting lessons through the process. Although DNS's request-response operations seem closely resembling NDN's Interest-Data packet exchanges, they operate at different layers in the protocol stack. Comparing DNS's implementations over IP protocol stack with NDNS's implementation over NDN reveals several fundamental differences between applications designs for host-centric IP architecture and data-centric NDN architecture. 2017 IEEE.",,
Afanasyev,"Mastorakis S., Afanasyev A., Zhang L.","As a proposed Internet architecture, Named Data Networking (NDN) takes a fundamental departure from today's TCP/IP architecture, thus requiring extensive experimentation and evaluation. To facilitate such experimentation, we have developed ndnSIM, an open-source NDN simulator based on the NS-3 simulation framework. Since its first release in 2012, ndnSIM has gone through five years of active development and integration with the NDN prototype implementations, and has become a popular platform used by hundreds of researchers around the world. This paper presents an overview of the ndnSIM design, the ndnSIM development process, the design tradeoffs, and the reasons behind the design decisions. We also share with the community a number of lessons we have learned in the process.",,
Afanasyev,"Shang W., Wang Z., Afanasyev A., Burke J., Zhang L.","Many emerging IoT approaches depend on cloud services to facilitate interoperation of devices and services within them, even when all the communicating entities reside in the same local environment, as in many ""smart home"" applications. While such designs offer a straightforward way to implement IoT applications using today's TCP/IP protocol stack, they also introduce dependencies on external connectivity and services that are unnecessary and often brittle. This paper uses the design of an IoT-enabled home entertainment application, dubbed Flow, to demonstrate how the Named Data Networking (NDN) architecture enables cloud-independent IoT applications. NDN enables local trust management and rendezvous service, which play a foundational role in realizing other IoT services. By employing application-defined naming rather than host-based addressing at the network layer, and securing data directly, NDN enables straightforward and robust implementation of these two core functions for IoT networks without cloud connectivity. At the same time, NDN-based IoT designs can employ cloud services to complement local system capabilities. After describing the design and implementation of Flow, together with a discussion on preliminary generalization of the design, as an evaluation the paper conducts a brief thought exercise of how Flow could be realized using two popular IoT frameworks, Amazon's AWS IoT service and the Apple HomeKit framework, and compares that with the real implementation over NDN. 2017 ACM.",,
